Conf. Session	Date	Time CET (Local Time)	Poster Session	Track	Board 	Paper ID	Paper Title	First Authors	Status	Authors	1st Author	2nd Author	3rd Author	4th Author	5th Author	6th Author	7th Author	8th Author	Change from 	Change to 	Complete	GT Spawn point	Authors																
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	27	194	The Shape of Learning: Anisotropy and Intrinsic Dimensions in Transformer-Based Models	Anton Razzhigaev	Confirmed in person	Anton Razzhigaev, Matvey Mikhalchuk, Elizaveta Goncharova, Ivan Oseledets, Denis Dimitrov, Andrey Kuznetsov	Anton Razzhigaev	Matvey Mikhalchuk	Elizaveta Goncharova	Ivan Oseledets	Denis Dimitrov	Andrey Kuznetsov							Anton Razzhigaev	Matvey Mikhalchuk	Elizaveta Goncharova	Ivan Oseledets	Denis Dimitrov	Andrey Kuznetsov											
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	36	292	Translation Errors Significantly Impact Low-Resource Languages in Cross-Lingual Learning	Ashish Sunil Agrawal	Confirmed in person	Ashish Sunil Agrawal, Barah Fazili, Preethi Jyothi	Ashish Sunil Agrawal	Barah Fazili	Preethi Jyothi										Ashish Sunil Agrawal	Barah Fazili	Preethi Jyothi														
Session 4	2024-03-18	16-17:30	In-Person B	Interpretability and Model Analysis in NLP	28	237	Understanding and Mitigating Spurious Correlations in Text Classification with Neighborhood Analysis	Oscar Chew	Confirmed in person	Oscar Chew, Hsuan-Tien Lin, Kai-Wei Chang, Kuan-Hao Huang	Oscar Chew	Hsuan-Tien Lin	Kai-Wei Chang	Kuan-Hao Huang									Oscar Chew	Hsuan-Tien Lin	Kai-Wei Chang	Kuan-Hao Huang													
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	5	439	Unraveling the Dynamics of Semi-Supervised Hate Speech Detection: The Impact of Unlabeled Data Characteristics and Pseudo-Labeling Strategies	Florian Ludwig	Confirmed in person	Florian Ludwig, Klara Dolos, Ana Alves-Pinto, Torsten Zesch	Florian Ludwig	Klara Dolos	Ana Alves-Pinto	Torsten Zesch									Florian Ludwig	Klara Dolos	Ana Alves-Pinto	Torsten Zesch													
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	6	264	What the Weight?! A Unified Framework for Zero-Shot Knowledge Composition	Carolin Holtermann	Confirmed in person	Carolin Holtermann, Markus Frohmann, Navid Rekabsaz, Anne Lauscher	Carolin Holtermann	Markus Frohmann	Navid Rekabsaz	Anne Lauscher									Carolin Holtermann	Markus Frohmann	Navid Rekabsaz	Anne Lauscher													
Session 4	2024-03-18	16-17:30	In-Person B	Resources and Evaluation	37	161	Where Do We Go From Here? Multi-scale Allocentric Relational Inferencefrom Natural Spatial Descriptions	Tzuf Paz-Argaman	Confirmed in person	Tzuf Paz-Argaman, John Palowitch, SAYALI KULKARNI, Jason Michael Baldridge, Reut Tsarfaty	Tzuf Paz-Argaman	John Palowitch	SAYALI KULKARNI	Jason Michael Baldridge	Reut Tsarfaty								Tzuf Paz-Argaman	John Palowitch	SAYALI KULKARNI	Jason Michael Baldridge	Reut Tsarfaty												
Session 4	2024-03-18	16-17:30	In-Person B	Efficient/Low-resource methods in NLP	7	214	Who Needs Decoders? Efficient Estimation of Sequence-Level Attributes with Proxies	Yassir Fathullah	Confirmed in person	Yassir Fathullah, Puria Radmard, Adian Liusie, Mark Gales	Yassir Fathullah	Puria Radmard	Adian Liusie	Mark Gales									Yassir Fathullah	Puria Radmard	Adian Liusie	Mark Gales													
Session 4	2024-03-18	16-17:30	In-Person B		D-3	DEMO 5	TextBI: An Interactive Dashboard for Visualizing Multidimensional NLP Annotations in Social Media Data	Maxime Masson	In person	Maxime Masson, Christian Sallaberry, Marie-Noelle Bessagnet, Annig Le Parc Lacayrelle, Philippe Roose and Rodrigo Agerri	Maxime Masson	Christian Sallaberry	Marie-Noelle Bessagnet	Annig Le Parc Lacayrelle	Philippe Roose and Rodrigo Agerri								Maxime Masson	Christian Sallaberry	Marie-Noelle Bessagnet	Annig Le Parc Lacayrelle	Philippe Roose and Rodrigo Agerri												
Session 4	2024-03-18	16-17:30	In-Person B		D-1	DEMO 7	A Human-Centric Evaluation Platform for Explainable Knowledge Graph Completion	Zhao Xu	In person	Zhao Xu, Wiem Ben Rim, Kiril Gashteovski, Timo Sztyler and Carolin Lawrence	Zhao Xu	Wiem Ben Rim	Kiril Gashteovski	Timo Sztyler and Carolin Lawrence									Zhao Xu	Wiem Ben Rim	Kiril Gashteovski	Timo Sztyler and Carolin Lawrence													
Session 4	2024-03-18	16-17:30	In-Person B		D-2	DEMO 33	AnnoPlot: Interactive Visualizations of Text Annotations	Elisabeth Fittschen	In person	Elisabeth Fittschen, Tim Fischer, Daniel Brühl, Julia Spahr, Yuliia Lysa and Phuoc Thang Le	Elisabeth Fittschen	Tim Fischer	Daniel Brühl	Julia Spahr	Yuliia Lysa and Phuoc Thang Le								Elisabeth Fittschen	Tim Fischer	Daniel Brühl	Julia Spahr	Yuliia Lysa and Phuoc Thang Le												
Session 4	2024-03-18	16-17:30	In-Person B		D-4	DEMO 44	X-AMR Annotation Tool	Shafiuddin Rehan Ahmed	In person	Shafiuddin Rehan Ahmed, Jon Cai, Martha Palmer and James H. Martin	Shafiuddin Rehan Ahmed	Jon Cai	Martha Palmer and James H. Martin										Shafiuddin Rehan Ahmed	Jon Cai	Martha Palmer and James H. Martin														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Computational Social Science and Cultural Analytics		5	French GossipPrompts: Dataset For Prevention of Generating French Gossip Stories By LLMs	MSVPJ Sathvik	Confirmed Virtual	MSVPJ Sathvik, Abhilash Dowpati, Revanth kumar Narra	MSVPJ Sathvik	Abhilash Dowpati	Revanth kumar Narra									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=qNSybOvvR8CQuAIdjQby	MSVPJ Sathvik	Abhilash Dowpati	Revanth kumar Narra														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Computational Social Science and Cultural Analytics		224	Discovering and Articulating Frames of Communication from Social Media Using Chain-of-Thought Reasoning	Maxwell Weinzierl	Confirmed Virtual	Maxwell Weinzierl, Sanda Harabagiu	Maxwell Weinzierl	Sanda Harabagiu										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=CSZ1vERbTjCaK0JhKsMq	Maxwell Weinzierl	Sanda Harabagiu															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Computational Social Science and Cultural Analytics		340	Reading Between the Tweets: Deciphering Ideological Stances of Interconnected Mixed-Ideology Communities	Zihao He	Confirmed Virtual	Zihao He, Ashwin Rao, Siyi Guo, Negar Mokhberian, Kristina Lerman	Zihao He	Ashwin Rao	Siyi Guo	Negar Mokhberian	Kristina Lerman							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=msJzc01iQmSKJh1aPqBo	Zihao He	Ashwin Rao	Siyi Guo	Negar Mokhberian	Kristina Lerman												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Computational Social Science and Cultural Analytics		464	LLM-GEm: Large Language Model-Guided Prediction of People's Empathy Levels towards Newspaper Article	Md Rakibul Hasan	Confirmed Virtual	#N/A	Md Rakibul Hasan	Md Zakir Hossain	Tom Gedeon	Shafin Rahman								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=5PqXdQ_iQpKdAYX7gPJb	Md Rakibul Hasan	Md Zakir Hossain	Tom Gedeon	Shafin Rahman													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		24	Parameter-Efficient Conversational Recommender System as a Language Processing Task	Mathieu Ravaut	Confirmed Virtual	Mathieu Ravaut, Hao Zhang, Lu Xu, Aixin Sun, Yong Liu	Mathieu Ravaut	Hao Zhang	Lu Xu	Aixin Sun	Yong Liu							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=6Qs5yYTJRuS30SCJWKHW	Mathieu Ravaut	Hao Zhang	Lu Xu	Aixin Sun	Yong Liu												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		151	Harmonizing Code-mixed Conversations: Personality-assisted Code-mixed Response Generation in Dialogues	Shivani Kumar	Confirmed Virtual	Shivani Kumar, Tanmoy Chakraborty	Shivani Kumar	Tanmoy Chakraborty										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=xeuGouNKSfG85Cvm8cqN	Shivani Kumar	Tanmoy Chakraborty															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		286	Investigating Agency of LLMs in Human-AI Collaboration Tasks	Ashish Sharma	Confirmed Virtual	Ashish Sharma, Sudha Rao, Chris Brockett, Akanksha Malhotra, Nebojsa Jojic, Bill Dolan	Ashish Sharma	Sudha Rao	Chris Brockett	Akanksha Malhotra	Nebojsa Jojic	Bill Dolan						https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=skWQYjv0T5KTulfcf35z	Ashish Sharma	Sudha Rao	Chris Brockett	Akanksha Malhotra	Nebojsa Jojic	Bill Dolan											
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		347	Investigating Content Planning for Navigating Trade-offs in Knowledge-Grounded Dialogue	Kushal Chawla	Confirmed Virtual	Kushal Chawla, Hannah Rashkin, Gaurav Singh Tomar, David Reitter	Kushal Chawla	Hannah Rashkin	Gaurav Singh Tomar	David Reitter								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=iRy37unHRuO36AgB71U7	Kushal Chawla	Hannah Rashkin	Gaurav Singh Tomar	David Reitter													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		354	Creating Suspenseful Stories: Iterative Planning with Large Language Models	Kaige Xie	Confirmed Virtual	Kaige Xie, Mark Riedl	Kaige Xie	Mark Riedl										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=iRy37unHRuO36AgB71U7	Kaige Xie	Mark Riedl															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Dialogue and Interactive Systems		429	System-Level Natural Language Feedback	Weizhe Yuan	Confirmed Virtual	Weizhe Yuan, Kyunghyun Cho, Jason E Weston	Weizhe Yuan	Kyunghyun Cho	Jason E Weston									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=ePsyr75lTjWin4NL0Jc5	Weizhe Yuan	Kyunghyun Cho	Jason E Weston														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Efficient/Low-resource methods in NLP		296	Minimal Distillation Schedule for Extreme Language Model Compression	Chen Zhang	Confirmed in person	Chen Zhang, Yang Yang, Qifan Wang, Jiahao Liu, Jingang Wang, Wei Wu, Dawei Song	Chen Zhang	Yang Yang	Qifan Wang	Jiahao Liu	Jingang Wang	Wei Wu	Dawei Song		Conf Session 4- 03/18 - 16:00 - Poster Session B	Bus Meeting - 03/19 - 13:00 - Virtual GT A	DONE on UL and in EACL 2024 Program Public	https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=PR7huAS2Qsq1yFqHggHs	Chen Zhang	Yang Yang	Qifan Wang	Jiahao Liu	Jingang Wang	Wei Wu	Dawei Song										
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Ethics and NLP		186	Quantifying Stereotypes in Language	Yang Liu	Confirmed Virtual	Yang Liu	Yang Liu											https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=XwsBFH0PRO-hCJvWHIlq	Yang Liu																
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Ethics and NLP		197	Smaller Language Models are Better Zero-shot Machine-Generated Text Detectors	Niloofar Mireshghallah	Confirmed Virtual	#N/A	Niloofar Mireshghallah	Justus Mattern	Sicun Gao	Reza Shokri	Taylor Berg-Kirkpatrick							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=KHhA-eLlRbCVyqO7aXr9	Niloofar Mireshghallah	Justus Mattern	Sicun Gao	Reza Shokri	Taylor Berg-Kirkpatrick												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Generation		142	Language Model Sentence Completion with a Parser-Driven Rhetorical Control Method	Joshua Zingale	Confirmed Virtual	Joshua Zingale, Jugal Kalita	Joshua Zingale	Jugal Kalita										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=7gXga5P6SBm0pixBU32G	Joshua Zingale	Jugal Kalita															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Generation		352	Advancing Precise Outline-Conditioned Text Generation with Task Duality and Explicit Outline Control	Yunzhe Li	Confirmed Virtual	Yunzhe Li, Qian Chen, Weixiang Yan, Wen Wang, Qinglin Zhang, Hari Sundaram	Yunzhe Li	Qian Chen	Weixiang Yan	Wen Wang	Qinglin Zhang	Hari Sundaram						https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=4CC2RSAPRQ-Yv9Za8akU	Yunzhe Li	Qian Chen	Weixiang Yan	Wen Wang	Qinglin Zhang	Hari Sundaram											
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Extraction		37	CEAN: Contrastive Event Aggregation Network with LLM-based Augmentation for Event Extraction	Zihao Meng	Confirmed Virtual	Zihao Meng, Tao Liu, Heng Zhang, Kai Feng, Peng Zhao	Zihao Meng	Tao Liu	Heng Zhang	Kai Feng	Peng Zhao							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=alnpr2NHQkCtnyOaIYQZ	Zihao Meng	Tao Liu	Heng Zhang	Kai Feng	Peng Zhao												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Extraction		98	Noise Contrastive Estimation-based Matching Framework for Low-resource Security Attack Pattern Recognition	Tu Nguyen	Confirmed Virtual	Tu Nguyen, Nedim Šrndić, Alexander Neth	Tu Nguyen	Nedim Šrndić	Alexander Neth									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=uhjw2DJzTw21MZrFI_IP	Tu Nguyen	Nedim Šrndić	Alexander Neth														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Extraction		256	EnCore: Fine-Grained Entity Typing by Pre-Training Entity Encoders on Coreference Chains	Frank Martin Mtumbuka	Confirmed Virtual	Frank Martin Mtumbuka, Steven Schockaert	Frank Martin Mtumbuka	Steven Schockaert										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=uvKdvGnyTSyYXoTCr2Qp	Frank Martin Mtumbuka	Steven Schockaert															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Extraction		481	CCPrefix: Counterfactual Contrastive Prefix-Tuning for Many-Class Classification	Yang Li	Confirmed Virtual	Yang Li, Canran Xu, Guodong Long, Tao Shen, Chongyang Tao, Jing Jiang	Yang Li	Canran Xu	Guodong Long	Tao Shen	Chongyang Tao	Jing Jiang						https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=mTXdxLmKSeuj1D8EJ9en	Yang Li	Canran Xu	Guodong Long	Tao Shen	Chongyang Tao	Jing Jiang											
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Retrieval and Text Mining		100	Re3val: Reinforced and Reranked Generative Retrieval	EuiYul Song	Confirmed In person	EuiYul Song, Sangryul Kim, Haeju Lee, Joonkee Kim, James Thorne	EuiYul Song	Sangryul Kim	Haeju Lee	Joonkee Kim	James Thorne				Conf Session 3- 03/18 - 14:00 - Poster Session A 	Bus Meeting - 03/19 - 13:00 - Virtual GT A	DONE on UL and in EACL 2024 Program Public	https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=9-1zFZphT46zqDUkpW79	EuiYul Song	Sangryul Kim	Haeju Lee	Joonkee Kim	James Thorne												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Information Retrieval and Text Mining		253	Learning to Retrieve In-Context Examples for Large Language Models	Liang Wang	Confirmed Virtual	Liang Wang, Nan Yang, Furu Wei	Liang Wang	Nan Yang	Furu Wei									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=lUH73hPGQlqqr6nI2_Ns	Liang Wang	Nan Yang	Furu Wei														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Interpretability and Model Analysis in NLP		355	Few-Shot Dialogue Summarization via Skeleton-Assisted Prompt Transfer in Prompt Tuning	Kaige Xie	Confirmed Virtual	Kaige Xie, Tong Yu, Haoliang Wang, Junda Wu, Handong Zhao, Ruiyi Zhang, Kanak Mahadik, Ani Nenkova, Mark Riedl	Kaige Xie	Tong Yu	Haoliang Wang	Junda Wu	Handong Zhao	Ruiyi Zhang	Kanak Mahadik	Ani Nenkova				https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=trlfFDqyQ-ydGM2ZTpd1	Kaige Xie	Tong Yu	Haoliang Wang	Junda Wu	Handong Zhao	Ruiyi Zhang	Kanak Mahadik	Ani Nenkova	Mark Riedl								
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Language Grounding to Vision, Robotics and Beyond		18	NavHint: Vision and Language Navigation Agent with a Hint Generator	Yue Zhang	Confirmed Virtual	Yue Zhang, Quan Guo, Parisa Kordjamshidi	Yue Zhang	Quan Guo	Parisa Kordjamshidi						was not assigned to a session	Bus Meeting - 03/19 - 13:00 - Virtual GT A	DONE on UL and in EACL 2024 Program Public	https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=trlfFDqyQ-ydGM2ZTpd1	Yue Zhang	Quan Guo	Parisa Kordjamshidi														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Question Answering		22	GEAR: Augmenting Language Models with Generalizable and Efficient Tool Resolution	Yining Lu	Confirmed Virtual	Yining Lu, Haoping Yu, Daniel Khashabi	Yining Lu	Haoping Yu	Daniel Khashabi									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=Hit8ajgXToOo3zF5jIZC	Yining Lu	Haoping Yu	Daniel Khashabi														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Question Answering		54	PEARL: Prompting Large Language Models to Plan and Execute Actions Over Long Documents	Simeng Sun	Confirmed Virtual	Simeng Sun, Yang Liu, Shuohang Wang, Dan Iter, Chenguang Zhu, Mohit Iyyer	Simeng Sun	Yang Liu	Shuohang Wang	Dan Iter	Chenguang Zhu	Mohit Iyyer						https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=__qA8i_2RiyHbKolMnlc	Simeng Sun	Yang Liu	Shuohang Wang	Dan Iter	Chenguang Zhu	Mohit Iyyer											
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Question Answering		359	Ask, Assess, and Refine: Rectifying Factual Consistency and Hallucination in LLMs with Metric-Guided Feedback Learning	Dongyub Lee	Confirmed Virtual	Dongyub Lee, Eunhwan Park, Hodong Lee, Heuiseok Lim	Dongyub Lee	Eunhwan Park	Hodong Lee	Heuiseok Lim								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=weKeAYceRhWaLBtK-A5A	Dongyub Lee	Eunhwan Park	Hodong Lee	Heuiseok Lim													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Lexical		380	A RelEntLess Benchmark for Modelling Graded Relations between Named Entities	Asahi Ushio	Confirmed Virtual	Asahi Ushio, Jose Camacho-Collados, Steven Schockaert	Asahi Ushio	Jose Camacho-Collados	Steven Schockaert									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=DM9L_06zTPWy4BleIxPc	Asahi Ushio	Jose Camacho-Collados	Steven Schockaert														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Sentence-level Semantics, Textual Inference and other areas		30	Language Models as Inductive Reasoners	Zonglin Yang	Confirmed Virtual	Zonglin Yang, Li Dong, Xinya Du, Hao Cheng, Erik Cambria, Xiaodong Liu, Jianfeng Gao, Furu Wei	Zonglin Yang	Li Dong	Xinya Du	Hao Cheng	Erik Cambria	Xiaodong Liu	Jianfeng Gao	Furu Wei				https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=l8bmHhzqQIWM0a4dtiEO	Zonglin Yang	Li Dong	Xinya Du	Hao Cheng	Erik Cambria	Xiaodong Liu	Jianfeng Gao	Furu Wei									
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Sentence-level Semantics, Textual Inference and other areas		104	ConstraintChecker: A Plugin for Large Language Models to Reason on Commonsense Knowledge Bases	Quyet V. Do	Confirmed in person	Quyet V. Do, Tianqing Fang, Shizhe Diao, Zhaowei Wang, Yangqiu Song	Quyet V. Do	Tianqing Fang	Shizhe Diao	Zhaowei Wang	Yangqiu Song				Session 8 - 03/19 - 16:00 - In Person C	Bus Meeting - 03/19 - 13:00 - Virtual GT A	DONE on UL and in EACL 2024 Program Public	https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=tm1BL5G6Sz2C2cGIYM2d	Quyet V. Do	Tianqing Fang	Shizhe Diao	Zhaowei Wang	Yangqiu Song												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Sentence-level Semantics, Textual Inference and other areas		150	Capturing the Relationship Between Sentence Triplets for LLM and Human-Generated Texts to Enhance Sentence Embeddings	Na Min An	Confirmed Virtual	Na Min An, Sania Waheed, James Thorne	Na Min An	Sania Waheed	James Thorne									https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=K9MIMz1aQW6rXlw-MVEr	Na Min An	Sania Waheed	James Thorne														
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Sentence-level Semantics, Textual Inference and other areas		155	Leveraging Multi-lingual Positive Instances in Contrastive Learning to Improve Sentence Embedding	Kaiyan Zhao	Confirmed Virtual	Kaiyan Zhao, Qiyu Wu, Xin-Qiang Cai, Yoshimasa Tsuruoka	Kaiyan Zhao	Qiyu Wu	Xin-Qiang Cai	Yoshimasa Tsuruoka								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=-qwCuWUoSm2iGCc8DOXv	Kaiyan Zhao	Qiyu Wu	Xin-Qiang Cai	Yoshimasa Tsuruoka													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Semantics: Sentence-level Semantics, Textual Inference and other areas		336	Does CLIP Bind Concepts? Probing Compositionality in Large Image Models	Martha Lewis	Confirmed Virtual	Martha Lewis, Nihal V. Nayak, Peilin Yu, Jack Merullo, Qinan Yu, Stephen Bach, Ellie Pavlick	Martha Lewis	Nihal V. Nayak	Peilin Yu	Jack Merullo	Qinan Yu	Stephen Bach	Ellie Pavlick					https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=uanpspYqQE-UiN1TXfp_	Martha Lewis	Nihal V. Nayak	Peilin Yu	Jack Merullo	Qinan Yu	Stephen Bach	Ellie Pavlick										
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Sentiment Analysis, Stylistic Analysis and Argument Mining		434	Self-training Strategies for Sentiment Analysis: An Empirical Study	Haochen Liu	Confirmed Virtual	#N/A	Haochen Liu	Sai Krishna Rallabandi	Yijing Wu	Parag Pravin Dakle	Preethi Raghavan							https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=q58SOb-FQS-Dll_H6dMW	Haochen Liu	Sai Krishna Rallabandi	Yijing Wu	Parag Pravin Dakle	Preethi Raghavan												
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Summarization		53	Evaluating the Factuality of Zero-shot Summarizers Across Varied Domains	Sanjana Ramprasad	Confirmed Virtual	Sanjana Ramprasad, Kundan Krishna, Zachary Chase Lipton, Byron C Wallace	Sanjana Ramprasad	Kundan Krishna	Zachary Chase Lipton	Byron C Wallace								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=PQuXRzvkRBihIm8rHvcm	Sanjana Ramprasad	Kundan Krishna	Zachary Chase Lipton	Byron C Wallace													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Summarization		134	Personalized Abstractive Summarization by Tri-agent Generation Pipeline	Wen Xiao	Confirmed Virtual	Wen Xiao, Yujia Xie, Giuseppe Carenini, Pengcheng He	Wen Xiao	Yujia Xie	Giuseppe Carenini	Pengcheng He								https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=DnTjHzXgTV2uke4uN2_D	Wen Xiao	Yujia Xie	Giuseppe Carenini	Pengcheng He													
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Summarization		141	Entity-level Factual Adaptiveness of Fine-tuning based Abstractive Summarization Models	Jongyoon Song	Confirmed Virtual	Jongyoon Song, Nohil Park, Bongkyu Hwang, Jaewoong Yun, Seongho Joe, Youngjune Gwon, Sungroh Yoon	Jongyoon Song	Nohil Park	Bongkyu Hwang	Jaewoong Yun	Seongho Joe	Youngjune Gwon	Sungroh Yoon					https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=kYSJyWzAT6-18hBJQ1kM	Jongyoon Song	Nohil Park	Bongkyu Hwang	Jaewoong Yun	Seongho Joe	Youngjune Gwon	Sungroh Yoon										
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A	Summarization		153	Source Identification in Abstractive Summarization	Yoshi Suhara	Confirmed Virtual	Yoshi Suhara, Dimitris Alikaniotis	Yoshi Suhara	Dimitris Alikaniotis										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=7FWThopbT2S9J8EeuvEE	Yoshi Suhara	Dimitris Alikaniotis															
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 3	The KIND Dataset: A Social Collaboration Approach for Nuanced Dialect Data Collection	Asma Z. Yamani	Confirmed Virtual	Asma Z. Yamani, Raghad Alziyady, Reem AlYami, Salma A. Albelali, Leina A. Albelali, Jawha- rah Almulhim, Amjad K. Alsulami, Motaz Alfarraj and Rabeah A. Al-Zaidy	Asma Z. Yamani	Raghad Alziyady	Reem AlYami	Salma A. Albelali	Leina A. Albelali	Jawha- rah Almulhim	Amjad K. Alsulami	Motaz Alfarraj and Rabeah A. Al-Zaidy				https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=j6R-nmAvSfG47f5XIzQY	Asma Z. Yamani	Raghad Alziyady	Reem AlYami	Salma A. Albelali	Leina A. Albelali	Jawha- rah Almulhim	Amjad K. Alsulami	Motaz Alfarraj and Rabeah A. Al-Zaidy									
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 9	UnMASKed: Quantifying Gender Biases in Masked Language Models through Linguistically Informed Job Market Prompts	Iñigo Parra	Confirmed Virtual	Iñigo Parra	Iñigo Parra											https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=5G5Sb0oDQ6CXf9K79G9g	Iñigo Parra																
Business Meeting	2024-03-19	13 - 13:45	Virtual GT A-SRW			SRW 10	Distribution Shifts Are Bottlenecks: Extensive Evaluation for Grounding Language Models to Knowledge Bases	Yiheng Shu 	Confirmed Virtual	Yiheng Shu and Zhiwei Yu	Yiheng Shu 	Zhiwei Yu										https://app.gather.town/app/XDzSQW1b0mpTTAYr/EACL2024?spawnToken=PXfK0uY3QCGT6PWS5qb5	Yiheng Shu and Zhiwei Yu																
